UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
145,L10144,L,299.84,308.25,1884,59.69,143,0,No Failure
146,H10145,M,299.22,308.81,1738,62.25,104,1,Power Failure
147,L10146,M,295.6,304.71,1772,34.33,131,0,No Failure
148,H10147,M,300.52,310.54,1425,57.9,206,1,Tool Wear Failure
149,M10148,M,299.29,308.69,2048,58.65,181,0,No Failure
150,M10149,H,300.99,311.82,1761,47.24,125,0,No Failure
151,L10150,H,295.9,303.99,1913,45.47,122,0,No Failure
152,H10151,L,300.21,310.74,2182,45.91,225,1,Tool Wear Failure
153,M10152,L,295.97,304.9,1628,33.56,58,0,No Failure
154,H10153,H,298.69,307.77,2081,47.85,24,0,No Failure
155,M10154,L,295.74,306.94,1207,30.96,170,0,No Failure
156,H10155,H,300.09,311.91,1233,27.99,176,0,No Failure
157,H10156,M,299.84,309.11,1790,38.58,142,0,No Failure
158,H10157,H,298.41,309.72,1511,51.76,66,0,No Failure
159,M10158,M,297.44,305.86,1448,47.96,74,0,No Failure
160,H10159,L,295.42,305.95,1478,63.42,154,0,No Failure
161,M10160,H,299.18,310.19,1518,49.09,68,0,No Failure
162,M10161,M,297.72,306.35,1929,26.36,125,0,No Failure
163,H10162,L,299.33,309.04,1769,27.25,83,0,No Failure
164,M10163,M,300.2,311.77,1989,24.19,128,0,No Failure
165,H10164,L,300.85,309.27,2030,28.6,57,0,No Failure
166,M10165,H,300.13,308.21,2043,46.91,50,0,No Failure
167,M10166,M,295.07,305.43,1615,57.72,183,0,No Failure
168,H10167,L,297.16,306.9,1621,60.22,96,0,No Failure
169,H10168,L,299.38,310.57,2126,38,58,1,Power Failure
170,H10169,L,296.03,307.72,1862,45.14,215,1,Tool Wear Failure
171,L10170,H,298.13,307.32,1280,56.41,100,1,Overstrain Failure
172,M10171,H,295.33,304.88,1742,34.04,29,0,No Failure
173,H10172,L,296.2,306.15,1556,46.81,177,0,No Failure
174,L10173,H,295.11,305.46,2187,27.83,70,0,No Failure
175,H10174,M,299.76,311.7,1214,41.44,141,0,No Failure
176,H10175,L,296.34,307.13,1812,27.79,156,0,No Failure
177,L10176,L,297.07,306.63,1924,40.81,241,1,Tool Wear Failure
178,L10177,H,300.57,309.62,1489,37.86,48,0,No Failure
179,L10178,M,299.23,311,2174,39.5,71,0,No Failure
180,M10179,H,295.19,303.73,2060,30.97,233,1,Tool Wear Failure
181,M10180,L,295.99,306.87,2116,26.12,180,0,No Failure
182,H10181,M,298.73,310.43,1219,32.4,112,0,No Failure
183,L10182,M,298.46,309.12,1770,30.78,184,0,No Failure
184,H10183,M,296.43,306.12,1495,53.04,103,0,No Failure
185,H10184,H,300.61,309.4,2049,52.26,103,0,No Failure
186,H10185,H,298.68,308.15,1833,46.3,39,0,No Failure
187,L10186,L,298.21,309.04,1739,24.11,131,0,No Failure
188,L10187,M,298.54,309.14,1315,45.48,66,0,No Failure
189,L10188,H,299.38,311.09,1740,23.57,158,0,No Failure
190,M10189,L,296.87,308.34,1832,20.82,100,0,No Failure
191,M10190,L,297.39,308.65,2156,35.87,213,1,Tool Wear Failure
192,L10191,L,296.26,307.9,1785,30.82,193,0,No Failure
193,L10192,L,296.12,305.22,2167,46.76,37,0,No Failure
194,L10193,M,300.67,310.14,2162,61.79,148,0,No Failure
195,M10194,L,299.44,308.96,1850,52.39,178,0,No Failure
196,M10195,H,297.94,308.18,1706,54.53,129,0,No Failure
197,H10196,M,296.36,307.04,1666,62.79,28,1,Power Failure
198,L10197,M,296.53,305.67,2090,48.53,126,0,No Failure
199,L10198,M,295.35,303.43,1228,46,108,0,No Failure
200,M10199,M,297.61,307.2,1314,47.08,81,0,No Failure
201,M10200,L,296.87,306.1,1302,58.96,146,1,Overstrain Failure
202,H10201,L,299.18,310.95,1957,37.46,81,0,No Failure
203,L10202,M,297.27,308.82,1540,55.79,59,0,No Failure
204,M10203,L,296.08,307.52,1838,49.35,184,0,No Failure
205,L10204,M,295.15,305.76,1804,33.71,53,0,No Failure
206,M10205,M,295.4,304.78,1586,20.62,201,1,Tool Wear Failure
207,H10206,L,299.08,309.27,1732,29.45,245,1,Tool Wear Failure
208,L10207,L,297.72,308.98,1845,51.5,110,0,No Failure
209,H10208,H,298.22,306.61,2141,46.09,203,1,Tool Wear Failure
210,M10209,L,300.38,311.58,1776,32.36,42,0,No Failure
211,L10210,H,300.94,309.11,1814,39.54,199,0,No Failure
212,M10211,H,296.3,307.57,1268,49.75,241,1,Tool Wear Failure
213,M10212,M,298.98,310.21,2152,25.72,129,1,Power Failure
214,M10213,L,296.58,304.78,1728,39.45,64,0,No Failure
215,H10214,H,295.12,305.63,2001,38.75,40,0,No Failure
216,L10215,L,299.55,309.56,1250,44.42,229,1,Tool Wear Failure
217,M10216,H,296.92,305.6,1621,43.49,81,0,No Failure
218,M10217,H,297.3,305.89,1457,36.55,124,0,No Failure
219,H10218,H,298.53,309.62,1467,54.32,108,0,No Failure
220,L10219,L,299.99,310.26,1991,23.03,109,0,No Failure
221,M10220,M,298.77,310.71,1824,21.6,191,0,No Failure
222,M10221,H,300.24,312.16,1640,38.91,234,1,Tool Wear Failure
223,L10222,H,296.64,308.61,1211,60.35,159,1,Overstrain Failure
224,L10223,L,299.79,308.26,2165,32.49,239,1,Tool Wear Failure
225,H10224,L,296.11,307.87,2162,27.75,48,0,No Failure
226,M10225,M,300.72,309.7,1418,61.77,141,0,No Failure
227,H10226,M,299.12,308.96,1241,27.57,171,0,No Failure
228,H10227,H,296.29,307.32,1730,36.87,179,0,No Failure
229,L10228,H,300.68,309.5,2151,52.81,189,1,Power Failure
230,H10229,H,299.39,309.65,2110,31.74,83,0,No Failure
231,M10230,L,296.52,305.27,1785,30.34,221,1,Tool Wear Failure
232,M10231,L,296.28,304.7,1504,37.9,33,0,No Failure
233,M10232,H,298.11,306.58,1530,55.43,70,0,No Failure
234,L10233,L,295.15,304.58,2098,60.99,117,1,Power Failure
235,L10234,H,296.24,304.26,1692,21.41,148,0,No Failure
236,M10235,H,297.55,307.25,1331,27.43,74,0,No Failure
237,M10236,H,297.25,307.9,1448,63.14,227,1,Tool Wear Failure
238,L10237,M,297.78,307.39,1477,46.68,113,0,No Failure
239,M10238,M,296.67,305.01,1324,44.81,25,0,No Failure
240,M10239,H,298.52,306.77,1663,56.61,205,1,Tool Wear Failure
241,H10240,M,300.18,309.3,2116,21.79,241,1,Tool Wear Failure
242,L10241,M,295.71,304.38,1869,20.62,87,0,No Failure
243,L10242,L,298.1,309.96,1272,63.54,139,1,Overstrain Failure
244,M10243,H,295.79,304.4,1205,57.29,146,1,Overstrain Failure
245,H10244,M,299.3,310.52,1476,53.63,200,1,Tool Wear Failure
246,L10245,L,297.38,307.72,1563,27.01,38,0,No Failure
247,L10246,H,298.39,308.67,1977,41.45,210,1,Tool Wear Failure
248,L10247,L,296.1,306.15,2167,62.18,180,1,Power Failure
249,H10248,H,295.87,307.76,1588,62.01,9,1,Power Failure
250,H10249,H,297.93,307.38,1887,20.42,142,0,No Failure
251,H10250,M,297.13,308.29,2195,53.86,7,1,Power Failure
252,L10251,H,300.64,310.86,1946,20.28,124,0,No Failure
253,L10252,M,299.59,309.17,1836,64.29,150,1,Power Failure
254,H10253,M,299.49,311.31,1278,38.76,159,0,No Failure
255,H10254,L,300.42,310.82,1523,63.81,232,1,Tool Wear Failure
256,H10255,L,295.5,303.98,2113,36.55,74,0,No Failure
257,M10256,H,298.31,307.98,1401,33.19,211,1,Tool Wear Failure
258,H10257,L,298.51,309.63,2044,34.23,113,0,No Failure
259,L10258,H,300.77,311.55,1896,52.88,167,1,Power Failure
260,H10259,L,296.75,308.42,1566,28.99,202,1,Tool Wear Failure
261,H10260,H,296.44,305.48,1729,58.88,181,0,No Failure
262,M10261,L,295.6,306.63,1743,46.58,199,1,Overstrain Failure
263,L10262,H,295.1,304.94,1914,63.65,159,0,No Failure
264,H10263,L,300.58,310.87,1717,64.42,200,1,Tool Wear Failure
265,M10264,H,299.02,310.84,1333,28.33,227,1,Tool Wear Failure
266,H10265,H,299.71,311.63,1973,63.01,226,1,Tool Wear Failure
267,M10266,L,296.69,308.14,1606,22.09,82,0,No Failure
268,M10267,H,298.52,307.95,2163,21.25,243,1,Tool Wear Failure
269,M10268,L,295.38,306.93,1484,62.47,14,1,Power Failure
270,M10269,L,297.91,308.47,1463,63.31,154,1,Power Failure
271,L10270,L,300.86,310.58,1534,26.63,124,0,No Failure
272,M10271,M,300.26,308.4,1772,39.91,58,0,No Failure
273,L10272,L,297.03,308.11,2095,42.23,134,0,No Failure
274,L10273,M,300.77,310.78,1376,58.71,16,1,Overstrain Failure
275,H10274,H,296.39,307.53,1480,48.26,138,0,No Failure
276,L10275,H,300.7,311.69,1782,54.86,214,1,Tool Wear Failure
277,H10276,M,300.65,311.82,1654,41.83,35,0,No Failure
278,L10277,M,299.8,309,1647,49.18,81,0,No Failure
279,L10278,H,298.78,309.99,2021,53.09,158,0,No Failure
280,L10279,M,300.25,310.44,2124,53.2,90,1,Power Failure
281,L10280,L,296.76,306.65,1681,20.08,104,0,No Failure
282,H10281,L,300.09,310.79,1887,24.5,85,0,No Failure
283,L10282,L,298.71,306.79,2001,36.36,121,0,No Failure
284,H10283,M,295.08,303.49,1718,22.75,93,0,No Failure
285,L10284,M,297.08,306.25,1494,37.23,36,1,Tool Wear Failure
286,M10285,L,295.89,307.82,1838,37.53,50,0,No Failure
287,H10286,L,300.89,309.45,1785,61.41,20,1,Power Failure
288,M10287,H,297.87,307.19,2102,45.52,117,1,Power Failure
289,H10288,M,297.98,306.19,1252,51.79,211,1,Tool Wear Failure
290,L10289,M,298.84,308.16,2110,59.92,23,1,Power Failure
291,H10290,L,297.21,306.49,1734,39.9,165,0,No Failure
292,L10291,M,295.82,307.61,1216,20.09,105,0,No Failure
293,H10292,L,299.93,311.31,1545,32.84,218,1,Tool Wear Failure
294,L10293,L,296.14,305.67,1924,56.64,91,0,No Failure
295,H10294,L,298.07,306.17,1688,60.58,174,1,Power Failure
296,M10295,M,296.35,307.67,2180,35.82,100,1,Power Failure
297,H10296,M,295.59,306.23,1623,33.23,135,0,No Failure
298,H10297,M,300.17,308.78,1527,61.6,194,1,Power Failure
299,H10298,M,300.84,312.82,2022,35.8,242,1,Tool Wear Failure
300,L10299,M,300.77,309.17,1748,49.35,34,0,No Failure
301,M10300,L,300.44,311.91,1882,32.61,132,0,No Failure
302,L10301,L,299.64,308.82,2006,24.41,33,0,No Failure
303,M10302,M,297,306.74,1871,42.56,8,0,No Failure
304,H10303,M,295.49,306.67,1622,61.55,187,0,No Failure
305,L10304,H,297.44,308.15,1325,47.84,246,1,Tool Wear Failure
306,L10305,H,296.39,308.14,1780,29.4,149,0,No Failure
307,H10306,H,295.79,306.28,2097,50.71,18,0,No Failure
308,L10307,H,295.32,303.71,1619,54.58,15,0,No Failure
309,M10308,M,299.35,310.89,2111,34.43,79,1,Power Failure
310,L10309,M,295.07,306.15,1704,45.16,95,0,No Failure
311,H10310,H,299.62,310.47,1821,50.69,1,0,No Failure
312,H10311,L,295.88,304.1,2033,27.22,211,1,Tool Wear Failure
313,L10312,M,295.48,305.06,1765,63.38,117,0,No Failure
314,M10313,L,295.54,304.21,1291,40.31,249,1,Tool Wear Failure
315,H10314,H,299.03,310.32,2181,64.08,221,1,Tool Wear Failure
316,M10315,M,296.47,307.27,1446,28.53,125,0,No Failure
317,L10316,M,297.52,309.06,1911,41.77,157,0,No Failure
318,H10317,M,298.34,310.21,1705,27.46,79,0,No Failure
319,L10318,M,300.16,311.26,1679,20.46,76,0,No Failure
320,M10319,L,299.36,311.34,1444,30.7,33,0,No Failure
321,M10320,L,296.62,307.08,1922,38.14,136,0,No Failure
322,M10321,H,295.79,303.94,1313,39.4,20,0,No Failure
323,H10322,M,295.33,303.39,2190,59.89,112,0,No Failure
324,H10323,L,296.81,306.18,2045,48.61,80,0,No Failure
325,H10324,H,296.57,307.87,1735,39.55,198,0,No Failure
326,M10325,L,297.74,309.2,1625,64.46,95,0,No Failure
327,H10326,L,299.1,310.94,1486,47.64,225,1,Tool Wear Failure
328,M10327,M,299.17,307.43,1702,34.52,47,0,No Failure
329,H10328,H,296.7,304.88,2079,51.11,233,1,Tool Wear Failure
330,L10329,M,297.28,308.93,1475,42.31,148,0,No Failure
331,L10330,L,296.09,305.31,1701,59.65,30,0,No Failure
332,M10331,L,299.73,309.96,1435,60.34,126,1,Power Failure
333,M10332,H,295.34,307.27,1537,36.53,67,0,No Failure
334,L10333,L,299.18,308.78,1390,45.31,187,0,No Failure
335,M10334,M,299.67,310.34,2191,31.96,163,1,Power Failure
336,M10335,L,299.66,309.27,1771,48.2,16,0,No Failure
337,H10336,M,296.56,307.63,1933,64.66,104,1,Power Failure
338,H10337,M,297.24,307.35,1298,57.47,222,1,Overstrain Failure
339,H10338,H,298.53,307.48,1566,36.49,102,0,No Failure
340,M10339,H,296.64,305.72,2093,24.29,186,0,No Failure
341,H10340,H,297.23,306.26,1284,63.5,28,1,Overstrain Failure
342,H10341,M,296.18,306.31,1365,37.53,217,1,Tool Wear Failure
343,H10342,M,297.76,308.57,1825,33.2,126,0,No Failure
344,M10343,L,295.27,307.06,1823,34.24,237,1,Tool Wear Failure
345,H10344,L,299.8,310.58,2038,42.05,134,0,No Failure
346,H10345,M,295.46,306.59,2135,63.05,192,0,No Failure
347,M10346,M,298.11,306.79,1342,64.4,243,1,Overstrain Failure
348,M10347,M,296.84,306.34,1459,33.33,182,0,No Failure
349,H10348,M,298.47,308.12,1627,35.82,144,0,No Failure
350,M10349,L,300.76,311.5,1201,43.03,92,0,No Failure
351,H10350,M,298.87,308.06,1270,20.37,11,0,No Failure
352,L10351,L,295.21,304.43,1426,27.87,108,0,No Failure
353,L10352,L,297.58,307.01,1681,62.12,103,1,Power Failure
354,M10353,H,298.06,309.3,1452,21.32,206,1,Tool Wear Failure
355,L10354,L,298.22,308.53,2077,24.54,47,0,No Failure
356,H10355,L,299.09,307.39,1524,38.93,186,0,No Failure
357,M10356,L,296.67,304.98,2125,52.92,9,0,No Failure
358,M10357,M,295.77,305.26,2175,32.1,222,1,Tool Wear Failure
359,M10358,L,297.36,308.42,1650,33.77,167,0,No Failure
360,H10359,L,300.74,311.49,1427,33.75,106,0,No Failure
361,M10360,H,296.12,306.95,1492,59.27,66,0,No Failure
362,H10361,M,300.42,311.49,1976,30.17,46,0,No Failure
363,L10362,M,298.26,307.41,1473,45.31,146,0,No Failure
364,M10363,H,297.74,307.93,1581,65,103,1,Power Failure
365,L10364,H,300.29,310.47,1679,52.78,186,0,No Failure
366,H10365,L,297.75,308.71,1775,35.14,227,1,Tool Wear Failure
367,L10366,H,299.35,311.17,2196,54.45,74,1,Power Failure
368,M10367,H,297.39,306.51,1432,62.93,162,0,No Failure
369,L10368,L,300.42,311.6,1553,36.81,106,0,No Failure
370,M10369,H,299.14,309.78,1463,51.86,11,0,No Failure
371,L10370,M,299.2,309.52,1561,23.41,154,0,No Failure
372,L10371,H,296.97,308.07,1301,60.29,91,1,Overstrain Failure
373,L10372,L,299.54,311.32,1560,24.33,3,0,No Failure
374,L10373,H,298.82,306.96,2088,36.78,118,0,No Failure
375,M10374,M,296.44,305.03,1499,44.41,23,0,No Failure
376,L10375,M,295.96,306.99,1572,31.86,157,0,No Failure
377,L10376,H,299.78,308.11,2144,49.22,132,1,Power Failure
378,L10377,L,300.75,310.82,1928,44.95,125,0,No Failure
379,M10378,L,297.75,306.63,1717,52.27,234,1,Tool Wear Failure
380,L10379,M,298.55,307.64,1977,35.94,220,1,Tool Wear Failure
381,L10380,M,300.15,310.95,1323,44.57,178,0,No Failure
382,M10381,H,297.74,305.86,1664,56.55,144,0,No Failure
383,L10382,H,300.71,312.2,1318,56.48,63,1,Overstrain Failure
384,H10383,L,298.45,308.23,1434,52.14,2,0,No Failure
385,L10384,M,299.92,309.93,1342,44.39,30,0,No Failure
386,H10385,L,300.45,310.61,1562,50.3,80,0,No Failure
387,L10386,L,299.89,310.48,1582,23.91,49,0,No Failure
388,L10387,H,295.96,305.34,2147,41.21,143,1,Power Failure
389,M10388,M,298.77,307.18,1464,58.71,134,0,No Failure
390,H10389,H,297.39,306.66,1672,47.33,97,0,No Failure
391,L10390,H,295.38,304.05,2011,62.38,200,1,Tool Wear Failure
392,L10391,L,297.54,307.77,2016,31.8,183,0,No Failure
393,L10392,L,296.55,305.82,1950,24.33,172,0,No Failure
394,L10393,M,300.09,311.93,1488,48.2,126,0,No Failure
395,L10394,L,295.2,307.06,1695,24.09,11,0,No Failure
396,H10395,L,300.75,311.23,1386,55.2,107,1,Overstrain Failure
397,M10396,H,297.13,307.6,1388,31.55,125,0,No Failure
398,M10397,H,297.14,309.08,1636,44.24,112,1,Overstrain Failure
399,H10398,M,295.1,306.65,1939,56.51,1,0,No Failure
400,M10399,L,296.11,307.17,1727,55.46,163,0,No Failure
401,M10400,L,297.41,306.66,2087,42.32,64,0,No Failure
402,H10401,L,300.58,310.04,2031,63.91,11,1,Power Failure
403,M10402,H,295.6,304.4,1232,42.39,126,0,No Failure
404,L10403,H,300.67,310.62,1768,32.55,230,1,Tool Wear Failure
405,M10404,H,300.22,312.18,1809,33.61,7,0,No Failure
406,M10405,H,297.72,309.37,2162,53.46,3,1,Power Failure
407,L10406,L,296.96,305.43,1223,39.67,147,0,No Failure
408,H10407,M,296.4,304.5,1731,38.85,136,0,No Failure
409,L10408,M,298.69,310.28,1405,20.92,4,0,No Failure
410,H10409,L,295.2,305.35,1254,33.74,26,0,No Failure
411,L10410,L,295.09,303.89,1787,58.72,209,1,Tool Wear Failure
412,H10411,L,297.57,308.27,1973,56.16,113,0,No Failure
413,L10412,H,295.41,305.99,1975,53.59,31,0,No Failure
414,L10413,H,296.51,305,1230,21.04,39,0,No Failure
415,L10414,M,296.33,305.37,1607,21.21,153,0,No Failure
416,H10415,L,296.52,304.76,1245,34.02,82,0,No Failure
417,H10416,H,295.79,304.63,1448,41.35,6,0,No Failure
418,H10417,M,295.07,303.6,1393,60.94,159,1,Overstrain Failure
